1543225717|0|0|Bachman - Turner Overdrive|Freeways|BTO's Greatest|1986
1543225717|0|0|Bachman - Turner Overdrive|Jamaica|BTO's Greatest|1986
1543225717|1|1586219865|Bachman - Turner Overdrive|Lookin' Out For Number 1|Best Of B.T.O. (So Far)|1976
1543225717|0|0|Bachman - Turner Overdrive|Rock And Roll Nights|BTO's Greatest|1986
1575681058|0|0|Bad Livers|Counting the Crosstics|CMJ New Music - Jul. '97|1997
1543225717|0|0|Badfinger|Apple Of My Eye|Timeless...The Musical Legacy|2013
1543225717|1|1583039081|Badfinger|Baby Blue (US Single Mix)|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Believe Me|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Come And Get It|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Day After Day|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Dear Angie|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Dennis|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|I'll Be The One|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Love Is Gonna Come At Last|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Maybe Tomorrow|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Name Of The Game|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|No Matter What|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Rock Of All Ages|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Suitcase|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Timeless|Timeless...The Musical Legacy|2013
1543225717|0|0|Badfinger|Without You|Timeless...The Musical Legacy|2013
1543225717|0|0|Baha Men|Best Years Of Our Lives|Shrek|2001
1543225717|0|0|Baha Men|Who Let The Dogs Out|One Hit Wonders|2005
1543225717|0|0|Bananarama|Venus (12 inch mix)||
1575681058|0|0|Bananarama|Venus (Extended Intro)||
1543225717|0|0|Barbara Fairchild|Teddy Bear Song|Country Music Hall Of Fame|2014
1543225717|0|0|Barbara Lewis|Baby I'm Yours|Classic Rock - 1965|1987
1543225717|0|0|Barbra Streisand|Sam, You Made The Pants Too Long||
1543225717|0|0|Bare Jr.|You Blew Me Off|Ultimate Rock 2|2001
1543225717|0|0|Barry Manilow|Copacabana||1978
1543225717|0|0|Barry Manilow|Mandy|The Essential 1970s|2010
1543225717|0|0|Barry McGuire|Eve Of Destruction|Gold Collection: The History Of Rock N Roll Volume 4|1990
1543225717|1|1600223976|Bart Simpson|Do the Bartman (Edit)||
1543225717|0|0|BASS Mekanik|Sine Sweep|BASS Mekanik|1998
1543225717|1|1648959052|Bay City Rollers|Saturday Night|The Essential 1970s|2010
1543225717|0|0|BB Gabor|Nyet Nyet Soviet (Soviet Jewellery)||
1543225717|0|0|Beastie Boys|Fight For Your Right|Ultimate Rock 2|2001
1543225717|0|0|Beastie Boys/Nas|Too Many Rappers|Big Shiny Tunes 14|2009
1575681058|0|0|Beck|Sexx Laws|2001 Grammy Nominees|2001
1543225717|0|0|Bee Gees|Boogie Child|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|Don't Forget to Remember|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|Emotion|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|Fanny (Be Tender With My Love)|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|First of May|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|For Whom the Bell Tolls|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|Guilty (Live)|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|Heartbreaker (Live)|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|Holiday|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|How Can You Mend a Broken Heart|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|How Deep Is Your Love|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|I Started a Joke|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|If I Can't Have You|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|Islands in the Stream (Live)|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|I've Gotta Get a Message to You|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|Jive Talkin'|The Ultimate Bee Gees|2009
1543225717|0|0|Bee Gees|Lonely Days|The Ultimate Bee Gees|2009
